ZCTA,Total,Total Male%,Total Female%,Male: Under 5%,Male: 5 to 17%,Male: 18 to 39%,Male: 40 to 59%,Male: 60 and Over%,Female: Under 5%,Female: 5 to 17%,Female: 18 to 39%,Female: 40 to 59%,Female: 60 and Over%
93001,20012,0.486308215,0.513691785,0.02673396,0.077253648,0.113282031,0.145512692,0.123525884,0.024285429,0.086997801,0.11043374,0.147561463,0.144413352
93003,32396,0.502006421,0.497993579,0.030158044,0.068619583,0.168138042,0.135078405,0.100012347,0.035251266,0.070780343,0.147672552,0.127083591,0.117205828
93004,51629,0.49693002,0.50306998,0.031280869,0.088322454,0.144473067,0.129229696,0.103623932,0.028956594,0.071897577,0.135272812,0.130740475,0.136202522
93010,31525,0.492117367,0.507882633,0.03149881,0.08072958,0.137129262,0.126375892,0.116383822,0.020174465,0.079587629,0.153814433,0.125709754,0.128596352
93012,46063,0.497535983,0.502464017,0.025030936,0.080085969,0.159433819,0.114430237,0.118555022,0.035017259,0.076959816,0.134098951,0.116188698,0.140199292
93013,36052,0.464800843,0.535199157,0.020525907,0.06959392,0.128286919,0.127621214,0.118772884,0.022384334,0.062576279,0.150615777,0.136996561,0.162626207
93015,16652,0.50864761,0.49135239,0.02342061,0.078969493,0.133317319,0.132656738,0.140283449,0.027384098,0.059392265,0.119805429,0.131455681,0.153314917
93021,17989,0.470287398,0.529712602,0.015565068,0.114069709,0.149369059,0.113402635,0.077880927,0.028406248,0.115959753,0.147979321,0.132581022,0.104786258
93022,38581,0.481998911,0.518001089,0.031336668,0.087556051,0.126772245,0.139524636,0.09680931,0.030455406,0.092117882,0.144630777,0.149659159,0.101137866
93023,7179,0.515252821,0.484747179,0.023401588,0.077448113,0.149324418,0.143056136,0.122022566,0.029809166,0.073269258,0.120768909,0.144031202,0.116868645
93030,19895,0.477557175,0.522442825,0.014526263,0.06041719,0.116411159,0.135260116,0.150942448,0.01331993,0.059462176,0.117265645,0.138477004,0.19391807
93033,58422,0.502464825,0.497535175,0.034079628,0.102050597,0.176953887,0.130276266,0.059104447,0.033720174,0.10068125,0.158758687,0.125072747,0.079302318
93035,84701,0.514244224,0.485755776,0.039456441,0.112690523,0.18424812,0.117188699,0.060660441,0.040341909,0.106303349,0.160883579,0.108546534,0.069680405
93036,29354,0.492607481,0.507392519,0.019656606,0.076616475,0.149178988,0.133882946,0.113272467,0.018532398,0.075867003,0.139810588,0.150848266,0.122334264
93040,48162,0.507433246,0.492566754,0.037456916,0.104709107,0.170694739,0.129064408,0.065508077,0.027449026,0.105664217,0.161185167,0.127652506,0.070615838
93041,1827,0.465790914,0.534209086,0.033935413,0.121510673,0.125889436,0.098522167,0.085933224,0.032840722,0.119868637,0.142309797,0.113300493,0.125889436
93042,24208,0.515118969,0.484881031,0.041391276,0.075388301,0.233228685,0.095009914,0.070100793,0.047174488,0.074149042,0.176801058,0.098066755,0.088689689
93043,118,0.957627119,0.042372881,0,0,0.915254237,0.042372881,0,0,0,0.042372881,0,0
93060,144,0.430555556,0.569444444,0.034722222,0.069444444,0.298611111,0.027777778,0,0.034722222,0.270833333,0.201388889,0.0625,0
93063,33773,0.499955586,0.500044414,0.046694105,0.094158055,0.157107749,0.124241258,0.077754419,0.032836882,0.104758239,0.151452344,0.12356024,0.08743671
