,ZCTA,All_death,Heart_death
580,92806,247.0,58.0
581,92807,268.0,66.0
582,92808,95.0,20.0
583,92821,253.0,76.0
584,92823,39.0,12.0
585,92831,231.0,58.0
586,92832,183.0,44.0
587,92833,290.0,80.0
588,92835,276.0,64.0
589,92840,342.0,74.0
590,92841,246.0,45.0
591,92843,242.0,59.0
592,92844,129.0,24.0
593,92845,127.0,29.0
594,92860,203.0,58.0
595,92861,67.0,20.0
596,92865,136.0,30.0
597,92866,97.0,21.0
598,92867,300.0,72.0
599,92868,176.0,44.0
600,92869,267.0,50.0
601,92870,361.0,83.0
602,92879,280.0,79.0
603,92880,285.0,65.0
604,92881,163.0,36.0
605,92882,371.0,93.0
606,92883,166.0,44.0
607,92886,343.0,85.0
608,92887,115.0,34.0
609,93001,229.0,51.0
610,93003,474.0,119.0
611,93004,229.0,56.0
612,93010,406.0,100.0
613,93012,336.0,86.0
614,93013,133.0,34.0
615,93015,98.0,26.0
616,93021,187.0,53.0
617,93022,50.0,
618,93023,223.0,53.0
619,93030,303.0,52.0
620,93033,416.0,78.0
621,93035,184.0,40.0
622,93036,242.0,43.0
623,93041,153.0,24.0
624,93042,0.0,0.0
625,93043,0.0,0.0
626,93060,226.0,49.0
627,93063,432.0,117.0
628,93064,0.0,0.0
629,93065,495.0,126.0
630,93066,23.0,
631,93101,156.0,48.0
632,93103,112.0,23.0
633,93105,302.0,80.0
634,93108,112.0,25.0
635,93109,104.0,12.0
636,93110,161.0,46.0
637,93111,215.0,61.0
638,93117,218.0,40.0
639,93201,14.0,
640,93202,31.0,
641,93203,73.0,17.0
642,93204,34.0,
643,93205,50.0,12.0
644,93206,13.0,
645,93208,0.0,0.0
646,93210,83.0,30.0
647,93212,107.0,26.0
648,93215,272.0,74.0
649,93219,44.0,12.0
650,93221,133.0,44.0
651,93222,20.0,
652,93223,52.0,13.0
653,93225,35.0,12.0
654,93230,505.0,121.0
655,93234,27.0,
656,93235,27.0,
657,93238,30.0,
658,93240,123.0,28.0
659,93241,83.0,18.0
660,93242,14.0,
661,93243,14.0,
662,93245,185.0,36.0
663,93247,114.0,27.0
664,93250,60.0,13.0
665,93252,23.0,
666,93256,15.0,
667,93257,601.0,138.0
668,93262,0.0,0.0
669,93263,132.0,25.0
670,93265,52.0,12.0
671,93267,35.0,
672,93268,108.0,18.0
673,93270,40.0,
674,93271,18.0,0.0
675,93274,498.0,110.0
676,93277,453.0,117.0
677,93280,107.0,22.0
678,93283,49.0,15.0
679,93285,56.0,18.0
680,93286,52.0,14.0
681,93291,321.0,75.0
682,93292,278.0,47.0
683,93301,169.0,40.0
684,93304,420.0,100.0
685,93305,299.0,53.0
686,93306,549.0,115.0
687,93307,517.0,104.0
688,93308,539.0,104.0
689,93309,491.0,120.0
690,93311,275.0,51.0
691,93312,383.0,96.0
692,93313,244.0,46.0
693,93314,195.0,55.0
694,93401,276.0,51.0
695,93402,148.0,24.0
696,93405,131.0,31.0
697,93410,0.0,0.0
698,93420,305.0,60.0
699,93422,306.0,55.0
700,93424,14.0,
701,93426,13.0,
702,93427,45.0,11.0
703,93428,84.0,13.0
704,93430,22.0,0.0
705,93432,14.0,
706,93433,94.0,29.0
707,93434,47.0,
708,93436,435.0,102.0
709,93437,0.0,0.0
710,93440,11.0,
711,93441,12.0,
712,93442,149.0,32.0
713,93444,185.0,40.0
714,93445,49.0,0.0
715,93446,383.0,74.0
716,93449,75.0,0.0
717,93451,21.0,
718,93453,33.0,
719,93454,316.0,87.0
720,93455,396.0,102.0
721,93458,282.0,64.0
722,93460,51.0,13.0
723,93461,13.0,
724,93463,107.0,18.0
725,93465,74.0,15.0
726,93501,46.0,14.0
727,93505,101.0,26.0
728,93510,60.0,
729,93513,20.0,
730,93514,153.0,37.0
731,93516,29.0,0.0
732,93518,19.0,
733,93523,13.0,
734,93526,13.0,
735,93527,25.0,
736,93530,0.0,0.0
737,93532,24.0,
738,93534,457.0,114.0
739,93535,519.0,117.0
740,93536,528.0,123.0
741,93543,115.0,25.0
742,93544,20.0,
743,93545,25.0,
744,93546,20.0,
745,93549,0.0,0.0
746,93550,429.0,104.0
747,93551,399.0,104.0
748,93552,195.0,37.0
749,93553,30.0,
750,93555,294.0,86.0
751,93560,143.0,35.0
752,93561,286.0,68.0
753,93562,20.0,
754,93591,50.0,11.0
755,93601,24.0,
756,93602,41.0,15.0
757,93604,12.0,0.0
758,93609,31.0,
759,93610,134.0,34.0
760,93611,351.0,79.0
761,93612,309.0,69.0
762,93614,135.0,27.0
763,93615,31.0,0.0
764,93616,17.0,
765,93618,175.0,41.0
766,93619,222.0,61.0
767,93620,83.0,15.0
