,ZCTA5,insurance_access,ARTHRITIS_CrudePrev,DRINKING,BPHIGH_CrudePrev,CANCER_CrudePrev,CASTHMA_CrudePrev,CHD_CrudePrev,COPD_CrudePrev,HIGHCHOL_CrudePrev,CSMOKING_CrudePrev,DIABETES_CrudePrev,OBESITY_CrudePrev,STROKE_CrudePrev
13039,54157,11.7,31.3,20.3,35.2,8.6,9.9,7.4,7.5,36.1,19.1,10.2,36.5,3.9
13040,43983,11.8,37.0,14.9,40.4,9.3,10.1,9.7,12.5,36.8,25.7,14.9,37.8,4.6
13041,43728,15.2,34.7,14.9,42.6,7.7,12.1,9.9,13.6,33.6,30.4,16.5,44.4,5.5
13042,34222,20.7,34.4,14.8,39.9,11.2,8.3,10.0,10.8,38.1,15.2,13.6,27.9,4.9
13043,40504,15.1,29.2,15.8,37.1,6.4,10.6,7.3,9.7,31.9,21.6,11.9,35.9,3.9
13044,37190,18.4,32.1,13.5,39.2,8.0,10.1,7.9,11.0,36.8,24.0,13.1,36.8,4.1
13045,39069,27.3,30.1,11.3,53.4,5.5,12.4,8.0,9.5,35.4,24.9,20.1,52.0,6.6
13046,37690,17.7,31.7,13.3,38.3,7.6,10.3,7.4,10.5,38.1,24.2,12.6,35.2,3.7
13047,46711,15.9,28.8,16.0,37.9,8.3,10.5,9.1,11.4,34.8,23.7,13.1,36.0,4.6
13048,44830,14.1,32.6,15.9,38.2,8.0,10.6,8.5,11.1,33.1,24.9,14.2,40.0,4.4
13049,44236,6.2,26.0,17.2,28.5,7.8,8.9,4.9,5.5,29.7,13.3,8.3,29.4,2.5
13050,36553,19.6,34.3,12.5,45.6,6.3,11.9,8.8,11.4,34.7,29.1,18.4,45.5,5.9
13051,46104,13.1,28.1,16.0,36.0,7.5,10.1,7.5,9.9,35.1,23.8,12.5,35.4,3.8
13052,46240,10.7,23.8,18.6,31.0,7.4,8.6,5.4,5.3,31.7,12.3,9.1,26.4,2.8
13053,47501,15.7,28.9,14.9,37.6,7.7,10.4,7.9,10.5,34.6,23.2,12.7,39.1,4.1
13054,54914,11.2,24.2,23.8,27.7,6.9,9.3,5.1,5.3,30.5,15.4,7.7,33.6,2.7
13055,45322,10.5,29.7,16.4,34.7,8.2,10.3,6.8,8.8,32.8,19.7,11.5,34.0,3.6
